time_step,cpu_util_percent
0,37.0
1,45.0
2,36.33333333333333
3,38.666666666666664
4,31.0
5,29.333333333333332
6,38.888888888888886
7,33.333333333333336
8,40.375
9,28.76923076923077
10,28.0
11,32.0
12,28.0
13,25.103448275862068
14,26.482758620689655
15,27.862068965517242
16,34.6
17,39.0
18,39.0
19,37.42857142857143
20,32.19047619047619
21,28.0
22,22.0
23,29.428571428571427
24,26.571428571428573
25,33.5
26,28.142857142857142
27,29.42857142857143
28,26.0
29,27.666666666666668
30,35.44444444444444
31,23.0
32,23.333333333333332
33,24.0
34,24.666666666666668
35,24.545454545454547
36,24.8
37,26.470588235294116
38,27.647058823529413
39,21.666666666666668
40,38.714285714285715
41,37.285714285714285
42,35.53333333333333
43,27.0
44,24.61904761904762
45,22.238095238095237
46,28.333333333333332
47,28.714285714285715
48,29.5
49,33.526315789473685
50,36.68421052631579
51,27.5
52,29.46153846153846
53,27.142857142857142
54,38.57142857142857
55,33.714285714285715
56,20.642857142857142
57,22.785714285714285
58,23.0
59,22.833333333333332
60,22.0
61,24.444444444444443
62,27.764705882352942
63,33.64705882352941
64,29.571428571428573
65,25.0
66,28.0
67,32.0
68,29.6
69,23.0
70,26.846153846153847
71,22.823529411764707
72,20.470588235294116
73,23.307692307692307
74,32.333333333333336
75,20.142857142857142
76,25.857142857142858
77,23.714285714285715
78,21.5
79,21.666666666666668
80,23.272727272727273
81,23.727272727272727
82,23.47826086956522
83,22.17391304347826
84,21.11111111111111
85,22.666666666666668
86,26.666666666666668
87,23.733333333333334
88,22.4
89,21.066666666666666
90,20.0
91,18.666666666666668
92,17.555555555555557
93,20.333333333333332
94,22.0
95,25.2
96,23.2
97,22.0
98,26.0
99,25.23076923076923
100,25.318181818181817
101,25.772727272727273
102,23.666666666666668
103,21.4
104,22.0
105,22.0
106,27.0
107,24.333333333333332
108,23.35
109,23.85
110,22.8
111,23.714285714285715
112,22.0
113,29.7
114,36.5
115,36.333333333333336
116,31.0
117,24.0
118,21.727272727272727
119,19.454545454545453
120,25.0
121,28.73913043478261
122,31.782608695652172
123,27.0
124,22.714285714285715
125,21.285714285714285
126,34.5
127,22.75
128,20.6
129,20.61904761904762
130,20.142857142857142
131,21.647058823529413
132,24.0
133,26.375
134,24.727272727272727
135,25.0
136,23.571428571428573
137,23.0
138,23.666666666666668
139,23.857142857142858
140,23.142857142857142
141,20.285714285714285
142,21.0
143,28.0
144,28.625
145,23.75
146,22.53846153846154
147,23.307692307692307
148,24.0
149,24.714285714285715
150,26.5
151,28.285714285714285
152,28.0
153,26.652173913043477
154,24.043478260869566
155,25.333333333333332
156,25.666666666666668
157,23.666666666666668
158,24.6
159,27.615384615384617
160,29.5
161,27.5
162,25.0
163,24.818181818181817
164,24.363636363636363
165,23.933333333333334
166,23.6
167,23.266666666666666
168,23.6
169,25.5
170,27.90909090909091
171,32.44444444444444
172,19.6
173,19.5
174,21.0
175,17.333333333333332
176,18.4
177,20.4
178,22.0
179,24.0
180,23.166666666666668
181,24.28846153846154
182,24.865384615384617
183,25.442307692307693
184,26.01923076923077
185,26.596153846153847
186,27.0
187,23.0
188,23.0
189,22.5
190,24.476190476190474
191,25.428571428571427
192,25.0
193,25.285714285714285
194,26.714285714285715
195,30.555555555555557
196,34.857142857142854
197,24.25
198,24.666666666666668
199,25.40740740740741
200,25.863636363636363
201,25.181818181818183
202,24.5
203,23.81818181818182
204,23.136363636363637
205,24.4
206,26.2
207,27.2
208,27.0
209,27.75
210,25.25
211,22.75
212,20.285714285714285
213,23.142857142857142
214,26.0
215,27.666666666666668
216,28.42857142857143
217,32.75
218,29.727272727272727
219,26.333333333333332
220,22.428571428571427
221,26.928571428571427
222,33.333333333333336
