time_step,cpu_util_percent
0,5.24
1,5.0
2,5.470588235294118
3,5.923076923076923
4,5.153846153846153
5,6.0
6,6.0
7,5.571428571428571
8,5.333333333333333
9,5.888888888888889
10,6.0
11,6.0
12,5.193548387096774
13,5.516129032258064
14,5.838709677419355
15,6.0
16,5.909090909090909
17,5.0
18,5.909090909090909
19,5.666666666666667
20,5.111111111111111
21,5.571428571428571
22,6.0
23,5.8
24,6.714285714285714
25,5.875
26,5.166666666666667
27,5.722222222222222
28,5.571428571428571
29,6.0
30,6.0
31,6.0
32,6.0
33,7.555555555555555
34,6.0
35,7.090909090909091
36,5.0
37,5.27027027027027
38,5.54054054054054
39,5.8108108108108105
40,6.0
41,6.0
42,6.0
43,6.0
44,6.0
45,5.722222222222222
46,5.166666666666667
47,5.368421052631579
48,5.894736842105263
49,6.0
50,5.956521739130435
51,5.521739130434782
52,5.086956521739131
53,6.428571428571429
54,6.666666666666667
55,6.0
56,6.666666666666667
57,6.0
58,5.625
59,5.0
60,5.714285714285714
61,5.833333333333333
62,5.0
63,5.0
64,5.0
65,5.428571428571429
66,5.904761904761905
67,6.0
68,6.0
69,7.0
70,6.886792452830188
71,6.509433962264151
72,6.132075471698113
73,5.754716981132075
74,5.377358490566038
75,5.0
76,6.0
77,6.0
78,5.8
79,5.133333333333333
80,6.0
81,5.545454545454546
82,5.090909090909091
83,7.666666666666667
84,6.142857142857142
85,5.875
86,5.0
87,5.0
88,5.5
89,6.0
90,6.0
91,6.0
92,6.0
93,6.0
94,6.555555555555555
95,7.0
96,6.777777777777778
97,6.222222222222222
98,6.0
99,6.0
100,6.0
101,6.0
102,6.0
103,5.666666666666667
104,6.0
105,6.0
106,6.0
107,5.5
108,7.625
109,5.923076923076923
110,5.4
111,5.888888888888889
112,5.222222222222222
113,5.884615384615385
114,5.5
115,5.115384615384615
116,5.1875
117,5.8125
118,5.0
119,5.333333333333333
120,5.666666666666667
121,5.0
122,6.5
123,6.217391304347826
124,5.3478260869565215
125,5.545454545454545
126,8.0
127,6.909090909090909
128,6.0
129,5.7368421052631575
130,5.2105263157894735
131,5.75
132,5.0
133,6.928571428571429
134,6.214285714285714
135,6.5
136,5.933333333333334
137,5.266666666666667
138,6.428571428571429
139,6.0
140,6.0
141,6.0
142,6.5
143,6.285714285714286
144,5.0
145,5.0
146,5.0
147,5.0
148,5.0
149,6.777777777777778
150,5.0
151,5.0
152,5.857142857142858
153,5.0
154,5.0
155,5.0
156,5.0
157,6.0
158,5.6875
159,5.375
160,5.0625
161,7.9
162,6.9
163,6.0
164,6.0
165,5.857142857142857
166,5.380952380952381
167,5.133333333333334
168,5.8
169,6.0
170,5.363636363636363
171,5.4
172,6.0
173,5.0
174,5.625
175,5.0
176,5.0
177,6.0
178,5.7
179,5.0
180,5.333333333333333
181,5.9523809523809526
182,5.476190476190476
183,5.0
184,5.303030303030303
185,5.606060606060606
186,5.909090909090909
187,5.444444444444445
188,6.0
189,5.625
190,5.0
191,5.0
192,7.0
193,6.0
194,6.0
195,5.083333333333333
196,5.5
197,5.916666666666667
198,5.5
199,5.0
200,5.428571428571429
201,6.857142857142857
202,5.8
203,5.0
204,5.0
205,5.0
206,6.0
207,5.571428571428571
208,5.0
209,6.0
210,5.25
211,5.0
212,6.8
213,6.285714285714286
214,7.769230769230769
215,7.0
216,6.230769230769231
217,5.142857142857143
218,5.0
219,5.814814814814815
220,5.444444444444445
221,5.074074074074074
222,5.0
223,5.0
224,5.12
225,5.52
226,5.92
227,5.333333333333333
228,5.888888888888889
229,5.333333333333333
230,5.0
231,6.142857142857142
232,5.25
233,5.0
234,5.0
235,5.0
236,5.2
237,5.866666666666667
238,5.733333333333333
239,5.4
240,5.066666666666666
241,5.571428571428571
242,6.0
243,6.0
244,5.0
